formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-01-02,2021-01-02,33155.0,29091.0,29376.0,32127.0,67865420765,32127.0,neutral
2021-01-03,2021-01-03,34609.0,32052.0,32129.0,32782.0,78665235202,32782.0,positive
2021-01-04,2021-01-04,33440.0,28723.0,32811.0,31972.0,81163475344,31972.0,negative
2021-01-05,2021-01-05,34438.0,30221.0,31977.0,33992.0,67547324782,33992.0,positive
2021-01-06,2021-01-06,36880.0,33514.0,34014.0,36824.0,75289433811,36824.0,positive
2021-01-07,2021-01-07,40180.0,36491.0,36834.0,39371.0,84762141031,39371.0,positive
2021-01-08,2021-01-08,41947.0,36839.0,39382.0,40798.0,88107519480,40798.0,positive
2021-01-09,2021-01-09,41436.0,38981.0,40789.0,40255.0,61984162837,40255.0,negative
2021-01-10,2021-01-10,41420.0,35985.0,40254.0,38356.0,79980747690,38356.0,negative
2021-01-11,2021-01-11,38347.0,30550.0,38347.0,35567.0,123320567399,35567.0,negative
2021-01-12,2021-01-12,36569.0,32698.0,35516.0,33923.0,74773277909,33923.0,negative
2021-01-13,2021-01-13,37600.0,32585.0,33915.0,37316.0,69364315979,37316.0,positive
2021-01-14,2021-01-14,39966.0,36869.0,37325.0,39187.0,63615990033,39187.0,positive
2021-01-15,2021-01-15,39578.0,34660.0,39157.0,36825.0,67760757881,36825.0,negative
2021-01-16,2021-01-16,37864.0,35634.0,36822.0,36178.0,57706187875,36178.0,negative
2021-01-17,2021-01-17,36722.0,34069.0,36164.0,35791.0,52359854336,35791.0,negative
2021-01-18,2021-01-18,37299.0,34884.0,35792.0,36630.0,49511702429,36630.0,positive
2021-01-19,2021-01-19,37756.0,36070.0,36642.0,36070.0,57244195486,36070.0,positive
2021-01-20,2021-01-20,36378.0,33570.0,36050.0,35548.0,66834573161,35548.0,negative
2021-01-21,2021-01-21,35553.0,30251.0,35549.0,30826.0,75643067688,30826.0,negative
2021-01-22,2021-01-22,33812.0,28953.0,30818.0,33006.0,77207272511,33006.0,negative
2021-01-23,2021-01-23,33361.0,31493.0,32986.0,32068.0,48354737975,32068.0,negative
2021-01-24,2021-01-24,32944.0,31107.0,32064.0,32289.0,48643830599,32289.0,negative
2021-01-25,2021-01-25,34803.0,32088.0,32286.0,32366.0,59897054838,32366.0,positive
2021-01-26,2021-01-26,32795.0,31030.0,32359.0,32570.0,60255421470,32570.0,negative
2021-01-27,2021-01-27,32564.0,29367.0,32564.0,30433.0,62576762015,30433.0,negative
2021-01-28,2021-01-28,33858.0,30023.0,30441.0,33466.0,76517157706,33466.0,positive
2021-01-29,2021-01-29,38406.0,32065.0,34319.0,34316.0,117894572511,34316.0,positive
2021-01-30,2021-01-30,34835.0,32940.0,34296.0,34270.0,65141828798,34270.0,negative
2021-01-31,2021-01-31,34288.0,32270.0,34271.0,33114.0,52754542671,33114.0,negative
2021-02-01,2021-02-01,34638.0,32384.0,33115.0,33537.0,61400400660,33537.0,positive
2021-02-02,2021-02-02,35897.0,33489.0,33533.0,35510.0,63088585433,35510.0,positive
2021-02-03,2021-02-03,37480.0,35444.0,35511.0,37472.0,61166818159,37472.0,positive
2021-02-04,2021-02-04,38592.0,36318.0,37475.0,36926.0,68838074392,36926.0,positive
2021-02-05,2021-02-05,38226.0,36659.0,36932.0,38144.0,58598066402,38144.0,negative
2021-02-06,2021-02-06,40847.0,38138.0,38138.0,39266.0,71326033653,39266.0,positive
2021-02-07,2021-02-07,39622.0,37446.0,39250.0,38903.0,65500641143,38903.0,negative
2021-02-08,2021-02-08,46204.0,38076.0,38887.0,46196.0,101467222687,46196.0,positive
2021-02-09,2021-02-09,48004.0,45167.0,46185.0,46481.0,91809846886,46481.0,positive
2021-02-10,2021-02-10,47146.0,43881.0,46470.0,44918.0,87301089896,44918.0,negative
2021-02-11,2021-02-11,48463.0,44188.0,44899.0,47909.0,81388911810,47909.0,positive
2021-02-12,2021-02-12,48746.0,46425.0,47877.0,47505.0,76555041196,47505.0,positive
2021-02-13,2021-02-13,48048.0,46392.0,47491.0,47106.0,70250456155,47106.0,negative
2021-02-14,2021-02-14,49488.0,47115.0,47115.0,48717.0,71248675228,48717.0,positive
2021-02-15,2021-02-15,48876.0,46347.0,48697.0,47945.0,77069903166,47945.0,negative
2021-02-16,2021-02-16,50341.0,47201.0,47944.0,49200.0,77049582886,49200.0,positive
2021-02-17,2021-02-17,52534.0,49072.0,49207.0,52149.0,80820545404,52149.0,positive
2021-02-18,2021-02-18,52474.0,51016.0,52141.0,51680.0,52054723579,51680.0,negative
2021-02-19,2021-02-19,56114.0,50937.0,51676.0,55888.0,63495496918,55888.0,positive
2021-02-20,2021-02-20,57505.0,54627.0,55887.0,56100.0,68145460026,56100.0,positive
2021-02-21,2021-02-21,58331.0,55673.0,56069.0,57540.0,51897585191,57540.0,positive
2021-02-22,2021-02-22,57533.0,48968.0,57533.0,54207.0,92052420332,54207.0,negative
2021-02-23,2021-02-23,54205.0,45291.0,54205.0,48824.0,106102492824,48824.0,negative
2021-02-24,2021-02-24,51290.0,47214.0,48835.0,49705.0,63695521388,49705.0,negative
2021-02-25,2021-02-25,51949.0,47094.0,49709.0,47094.0,54506565949,47094.0,positive
2021-02-26,2021-02-26,48371.0,44455.0,47180.0,46340.0,350967941479,46340.0,negative
2021-02-27,2021-02-27,48253.0,45269.0,46345.0,46188.0,45910946382,46188.0,negative
2021-02-28,2021-02-28,46716.0,43242.0,46194.0,45138.0,53443887451,45138.0,negative
2021-03-01,2021-03-01,49784.0,45115.0,45160.0,49631.0,53891300112,49631.0,positive
2021-03-02,2021-03-02,50128.0,47229.0,49612.0,48379.0,47530897720,48379.0,positive
2021-03-03,2021-03-03,52535.0,48274.0,48416.0,50538.0,53220811975,50538.0,positive
2021-03-04,2021-03-04,51735.0,47657.0,50522.0,48561.0,52343816680,48561.0,negative
2021-03-05,2021-03-05,49396.0,46543.0,48527.0,48927.0,48625928883,48927.0,negative
2021-03-06,2021-03-06,49147.0,47258.0,48899.0,48912.0,34363564661,48912.0,negative
2021-03-07,2021-03-07,51384.0,48919.0,48919.0,51207.0,43137459378,51207.0,positive
2021-03-08,2021-03-08,52314.0,49506.0,51174.0,52247.0,48597428048,52247.0,positive
2021-03-09,2021-03-09,54824.0,51982.0,52273.0,54824.0,50912227385,54824.0,positive
2021-03-10,2021-03-10,57258.0,53291.0,54824.0,56009.0,57295577614,56009.0,positive
2021-03-11,2021-03-11,58091.0,54485.0,55963.0,57805.0,56772343595,57805.0,positive
2021-03-12,2021-03-12,57997.0,55377.0,57821.0,57332.0,55689944702,57332.0,negative
2021-03-13,2021-03-13,61684.0,56218.0,57343.0,61243.0,60669829814,61243.0,positive
2021-03-14,2021-03-14,61598.0,59302.0,61221.0,59302.0,43901225564,59302.0,negative
2021-03-15,2021-03-15,60541.0,55393.0,59267.0,55907.0,66419369890,55907.0,negative
2021-03-16,2021-03-16,56833.0,53555.0,55841.0,56805.0,59749798599,56805.0,negative
2021-03-17,2021-03-17,58970.0,54529.0,56826.0,58871.0,60258313191,58871.0,positive
2021-03-18,2021-03-18,60116.0,54254.0,58893.0,57859.0,55746041000,57859.0,positive
2021-03-19,2021-03-19,59498.0,56644.0,57850.0,58347.0,49063873786,58347.0,negative
2021-03-20,2021-03-20,60031.0,58213.0,58332.0,58314.0,50361731222,58314.0,positive
2021-03-21,2021-03-21,58768.0,56006.0,58310.0,57523.0,51943414539,57523.0,negative
2021-03-22,2021-03-22,58471.0,54288.0,57518.0,54529.0,56521454974,54529.0,negative
2021-03-23,2021-03-23,55985.0,53471.0,54512.0,54739.0,56435023914,54739.0,negative
2021-03-24,2021-03-24,57262.0,52514.0,54710.0,52774.0,70567223787,52774.0,positive
2021-03-25,2021-03-25,53392.0,50857.0,52727.0,51704.0,67999812841,51704.0,negative
2021-03-26,2021-03-26,55137.0,51580.0,51683.0,55137.0,56652197978,55137.0,positive
2021-03-27,2021-03-27,56568.0,54243.0,55138.0,55974.0,47266542233,55974.0,positive
2021-03-28,2021-03-28,56610.0,55071.0,55975.0,55951.0,47686580918,55951.0,positive
2021-03-29,2021-03-29,58342.0,55139.0,55948.0,57750.0,57625587027,57750.0,positive
2021-03-30,2021-03-30,59447.0,57252.0,57750.0,58918.0,54414116432,58918.0,positive
2021-03-31,2021-03-31,59930.0,57726.0,58930.0,58919.0,65520826225,58919.0,positive
2021-04-01,2021-04-01,59586.0,58505.0,58927.0,59096.0,61669163792,59096.0,negative
2021-04-02,2021-04-02,60267.0,58869.0,59099.0,59384.0,58727860620,59384.0,positive
2021-04-03,2021-04-03,60110.0,57604.0,59397.0,57604.0,59641344484,57604.0,negative
2021-04-04,2021-04-04,58914.0,57169.0,57605.0,58759.0,50749662970,58759.0,negative
2021-04-05,2021-04-05,59891.0,57695.0,58761.0,59058.0,60706272115,59058.0,positive
2021-04-06,2021-04-06,59480.0,57647.0,59172.0,58192.0,66058027988,58192.0,negative
2021-04-07,2021-04-07,58731.0,55604.0,58187.0,56049.0,75645303584,56049.0,negative
2021-04-08,2021-04-08,58339.0,55879.0,56100.0,58324.0,53053855641,58324.0,negative
2021-04-09,2021-04-09,58937.0,57808.0,58327.0,58245.0,46655208546,58245.0,positive
2021-04-10,2021-04-10,61277.0,58039.0,58254.0,59793.0,58238470525,59793.0,positive
2021-04-11,2021-04-11,60791.0,59290.0,59846.0,60205.0,46280252580,60205.0,negative
2021-04-12,2021-04-12,61253.0,59590.0,60176.0,59893.0,51828688519,59893.0,positive
2021-04-13,2021-04-13,63742.0,59870.0,59890.0,63503.0,69983454362,63503.0,positive
2021-04-14,2021-04-14,64863.0,61555.0,63524.0,63110.0,77451779687,63110.0,positive
2021-04-15,2021-04-15,63822.0,62209.0,63075.0,63314.0,60954381579,63314.0,negative
2021-04-16,2021-04-16,63595.0,60223.0,63259.0,61573.0,84293007468,61573.0,negative
2021-04-17,2021-04-17,62572.0,60361.0,61530.0,60684.0,66138759198,60684.0,negative
2021-04-18,2021-04-18,61057.0,52830.0,60702.0,56216.0,97468872758,56216.0,negative
2021-04-19,2021-04-19,57520.0,54369.0,56192.0,55724.0,65344865159,55724.0,negative
2021-04-20,2021-04-20,57062.0,53448.0,55682.0,56473.0,67849323955,56473.0,negative
2021-04-21,2021-04-21,56758.0,53695.0,56471.0,53906.0,54926612466,53906.0,negative
2021-04-22,2021-04-22,55410.0,50584.0,53857.0,51762.0,74798630778,51762.0,negative
2021-04-23,2021-04-23,52121.0,47715.0,51740.0,51094.0,86668667320,51094.0,negative
2021-04-24,2021-04-24,51168.0,48805.0,51143.0,50051.0,49014494781,50051.0,negative
2021-04-25,2021-04-25,50506.0,47159.0,50053.0,49004.0,46117114240,49004.0,negative
2021-04-26,2021-04-26,54288.0,48853.0,49078.0,54022.0,58284039825,54022.0,positive
2021-04-27,2021-04-27,55417.0,53319.0,54030.0,55033.0,49448222757,55033.0,positive
2021-04-28,2021-04-28,56227.0,53888.0,55037.0,54825.0,48000572955,54825.0,positive
2021-04-29,2021-04-29,55116.0,52418.0,54858.0,53555.0,46088929780,53555.0,negative
2021-04-30,2021-04-30,57901.0,53130.0,53569.0,57750.0,52395931985,57750.0,positive
2021-05-01,2021-05-01,58448.0,57052.0,57715.0,57828.0,42836427360,57828.0,positive
2021-05-02,2021-05-02,57903.0,56142.0,57826.0,56631.0,38177405335,56631.0,negative
2021-05-03,2021-05-03,58973.0,56591.0,56620.0,57200.0,51713139031,57200.0,positive
2021-05-04,2021-05-04,57214.0,53191.0,57214.0,53334.0,68564706967,53334.0,negative
2021-05-05,2021-05-05,57911.0,52969.0,53252.0,57424.0,69241316747,57424.0,positive
2021-05-06,2021-05-06,58363.0,55383.0,57441.0,56397.0,69523285106,56397.0,positive
2021-05-07,2021-05-07,58607.0,55322.0,56414.0,57356.0,68434023376,57356.0,positive
2021-05-08,2021-05-08,59465.0,56975.0,57353.0,58804.0,65382980634,58804.0,positive
2021-05-09,2021-05-09,59211.0,56482.0,58877.0,58232.0,65906690347,58232.0,negative
2021-05-10,2021-05-10,59519.0,54071.0,58251.0,55860.0,71776546298,55860.0,positive
2021-05-11,2021-05-11,56873.0,54609.0,55847.0,56705.0,61308396325,56705.0,negative
2021-05-12,2021-05-12,57939.0,49151.0,56715.0,49151.0,75215403907,49151.0,positive
2021-05-13,2021-05-13,51331.0,46980.0,49735.0,49716.0,96721152926,49716.0,negative
2021-05-14,2021-05-14,51438.0,48869.0,49683.0,49881.0,55737497453,49881.0,positive
2021-05-15,2021-05-15,50640.0,46664.0,49855.0,46760.0,59161047474,46760.0,negative
2021-05-16,2021-05-16,49720.0,43963.0,46717.0,46456.0,64047871555,46456.0,negative
2021-05-17,2021-05-17,46624.0,42207.0,46416.0,43538.0,74903638450,43538.0,negative
2021-05-18,2021-05-18,45812.0,42368.0,43488.0,42909.0,56187365084,42909.0,negative
2021-05-19,2021-05-19,43546.0,30681.0,42945.0,37002.0,126358098747,37002.0,negative
2021-05-20,2021-05-20,42463.0,35051.0,36754.0,40783.0,88281943359,40783.0,negative
2021-05-21,2021-05-21,42172.0,33616.0,40597.0,37305.0,82051616861,37305.0,negative
2021-05-22,2021-05-22,38831.0,35384.0,37371.0,37537.0,57377273240,37537.0,negative
2021-05-23,2021-05-23,38289.0,31227.0,37531.0,34771.0,78469274361,34771.0,negative
2021-05-24,2021-05-24,39835.0,34551.0,34700.0,38706.0,67359584098,38706.0,positive
2021-05-25,2021-05-25,39776.0,36581.0,38796.0,38402.0,56211915803,38402.0,negative
2021-05-26,2021-05-26,40782.0,37906.0,38393.0,39294.0,51346735160,39294.0,positive
2021-05-27,2021-05-27,40380.0,37248.0,39317.0,38437.0,43210968721,38437.0,negative
2021-05-28,2021-05-28,38857.0,34779.0,38507.0,35698.0,55200191952,35698.0,negative
2021-05-29,2021-05-29,37234.0,33694.0,35684.0,34616.0,45231013335,34616.0,negative
2021-05-30,2021-05-30,36401.0,33521.0,34607.0,35678.0,31646080921,35678.0,negative
2021-05-31,2021-05-31,37468.0,34242.0,35659.0,37333.0,39009847639,37333.0,positive
2021-06-01,2021-06-01,37897.0,35787.0,37294.0,36685.0,34639423297,36685.0,positive
2021-06-02,2021-06-02,38231.0,35966.0,36700.0,37575.0,33070867190,37575.0,positive
2021-06-03,2021-06-03,39479.0,37244.0,37599.0,39209.0,35460750427,39209.0,positive
2021-06-04,2021-06-04,39242.0,35718.0,39242.0,36894.0,41831090187,36894.0,negative
2021-06-05,2021-06-05,37918.0,34900.0,36880.0,35552.0,35959473399,35552.0,negative
2021-06-06,2021-06-06,36436.0,35305.0,35539.0,35862.0,28913440585,35862.0,negative
2021-06-07,2021-06-07,36791.0,33481.0,35835.0,33561.0,33683936663,33561.0,positive
2021-06-08,2021-06-08,34017.0,31114.0,33590.0,33473.0,49902050442,33473.0,negative
2021-06-09,2021-06-09,37537.0,32476.0,33417.0,37345.0,53972919008,37345.0,positive
2021-06-10,2021-06-10,38334.0,35848.0,37390.0,36703.0,43576032854,36703.0,positive
2021-06-11,2021-06-11,37609.0,36044.0,36697.0,37334.0,38699736985,37334.0,negative
2021-06-12,2021-06-12,37409.0,34728.0,37340.0,35553.0,37924228550,35553.0,negative
2021-06-13,2021-06-13,39323.0,34864.0,35556.0,39098.0,40669112838,39098.0,positive
2021-06-14,2021-06-14,40978.0,38757.0,39017.0,40218.0,43148914673,40218.0,positive
2021-06-15,2021-06-15,41295.0,39609.0,40427.0,40406.0,46420149185,40406.0,positive
2021-06-16,2021-06-16,40517.0,38176.0,40169.0,38347.0,39211635100,38347.0,negative
2021-06-17,2021-06-17,39514.0,37440.0,38341.0,38054.0,37096670047,38054.0,negative
2021-06-18,2021-06-18,38187.0,35256.0,38099.0,35787.0,36200887275,35787.0,negative
2021-06-19,2021-06-19,36458.0,34933.0,35855.0,35616.0,31207279719,35616.0,negative
2021-06-20,2021-06-20,36059.0,33432.0,35563.0,35698.0,36664034054,35698.0,negative
2021-06-21,2021-06-21,35722.0,31296.0,35641.0,31677.0,52809038594,31677.0,negative
2021-06-22,2021-06-22,33292.0,28894.0,31622.0,32506.0,58964353058,32506.0,negative
2021-06-23,2021-06-23,34753.0,31773.0,32516.0,33723.0,46317108925,33723.0,positive
2021-06-24,2021-06-24,35229.0,32385.0,33683.0,34662.0,33123368116,34662.0,positive
2021-06-25,2021-06-25,35487.0,31351.0,34659.0,31638.0,40230904226,31638.0,positive
2021-06-26,2021-06-26,32638.0,30185.0,31595.0,32186.0,38585385521,32186.0,negative
2021-06-27,2021-06-27,34656.0,32072.0,32288.0,34650.0,35511640894,34650.0,positive
2021-06-28,2021-06-28,35220.0,33902.0,34679.0,34434.0,33892523752,34434.0,positive
2021-06-29,2021-06-29,36542.0,34252.0,34476.0,35868.0,37901460044,35868.0,positive
2021-06-30,2021-06-30,36075.0,34086.0,35908.0,35041.0,34059036099,35041.0,negative
2021-07-01,2021-07-01,35036.0,32884.0,35036.0,33572.0,37838957079,33572.0,negative
2021-07-02,2021-07-02,33940.0,32771.0,33550.0,33897.0,38728974942,33897.0,negative
2021-07-03,2021-07-03,34909.0,33403.0,33854.0,34669.0,24383958643,34669.0,positive
2021-07-04,2021-07-04,35938.0,34396.0,34666.0,35288.0,24924307911,35288.0,positive
2021-07-05,2021-07-05,35284.0,33214.0,35284.0,33746.0,26721554282,33746.0,negative
2021-07-06,2021-07-06,35039.0,33600.0,33724.0,34235.0,26501259870,34235.0,negative
2021-07-07,2021-07-07,34998.0,33839.0,34226.0,33855.0,24796027477,33855.0,negative
2021-07-08,2021-07-08,33908.0,32133.0,33890.0,32877.0,29910396946,32877.0,negative
2021-07-09,2021-07-09,34042.0,32319.0,32862.0,33798.0,27436021028,33798.0,positive
2021-07-10,2021-07-10,34209.0,33116.0,33811.0,33521.0,22971873468,33521.0,positive
2021-07-11,2021-07-11,34585.0,33347.0,33509.0,34240.0,20108729370,34240.0,positive
2021-07-12,2021-07-12,34592.0,32697.0,34254.0,33156.0,24321499537,33156.0,positive
2021-07-13,2021-07-13,33327.0,32261.0,33125.0,32702.0,19120856669,32702.0,negative
2021-07-14,2021-07-14,33061.0,31639.0,32724.0,32822.0,21376531210,32822.0,negative
2021-07-15,2021-07-15,33160.0,31176.0,32828.0,31781.0,21300524237,31781.0,positive
2021-07-16,2021-07-16,32218.0,31101.0,31842.0,31422.0,23699476918,31422.0,negative
2021-07-17,2021-07-17,31936.0,31224.0,31397.0,31533.0,18895018942,31533.0,negative
2021-07-18,2021-07-18,32399.0,31215.0,31534.0,31797.0,18787986667,31797.0,positive
2021-07-19,2021-07-19,31886.0,30564.0,31800.0,30818.0,20434789545,30818.0,negative
2021-07-20,2021-07-20,31006.0,29361.0,30838.0,29807.0,23148267245,29807.0,negative
2021-07-21,2021-07-21,32752.0,29526.0,29796.0,32111.0,28203024559,32111.0,positive
2021-07-22,2021-07-22,32576.0,31745.0,32139.0,32313.0,19555230518,32313.0,negative
2021-07-23,2021-07-23,33582.0,32058.0,32306.0,33582.0,22552046192,33582.0,positive
2021-07-24,2021-07-24,34490.0,33425.0,33594.0,34292.0,21664706865,34292.0,positive
2021-07-25,2021-07-25,35365.0,33882.0,34290.0,35350.0,20856685287,35350.0,positive
2021-07-26,2021-07-26,40500.0,35287.0,35384.0,37338.0,51022126212,37338.0,positive
2021-07-27,2021-07-27,39407.0,36442.0,37276.0,39407.0,35097370560,39407.0,negative
2021-07-28,2021-07-28,40816.0,38862.0,39503.0,39996.0,38702404695,39996.0,positive
2021-07-29,2021-07-29,40593.0,39352.0,39995.0,40008.0,27167146027,40008.0,negative
2021-07-30,2021-07-30,42236.0,38397.0,40027.0,42236.0,33072782960,42236.0,positive
2021-07-31,2021-07-31,42231.0,41111.0,42196.0,41626.0,25802845343,41626.0,negative
2021-08-01,2021-08-01,42542.0,39541.0,41461.0,39975.0,26688438115,39975.0,positive
2021-08-02,2021-08-02,40419.0,38746.0,39907.0,39202.0,25595265436,39202.0,negative
2021-08-03,2021-08-03,39750.0,37782.0,39178.0,38153.0,26189830450,38153.0,negative
2021-08-04,2021-08-04,39952.0,37589.0,38213.0,39748.0,25372562724,39748.0,positive
2021-08-05,2021-08-05,41342.0,37458.0,39745.0,40870.0,35185031017,40870.0,positive
2021-08-06,2021-08-06,43272.0,39932.0,40866.0,42816.0,38226483046,42816.0,positive
2021-08-07,2021-08-07,44690.0,42619.0,42833.0,44556.0,40030862141,44556.0,positive
2021-08-08,2021-08-08,45282.0,43332.0,44574.0,43798.0,36302664750,43798.0,positive
2021-08-09,2021-08-09,46457.0,42849.0,43792.0,46365.0,38734079049,46365.0,positive
2021-08-10,2021-08-10,46638.0,44706.0,46281.0,45585.0,33546019517,45585.0,positive
2021-08-11,2021-08-11,46736.0,45352.0,45600.0,45594.0,34319709073,45594.0,positive
